Date,Sensor Glucose (mmol/L),
09/03/2022 13:42,6.9,
09/03/2022 13:47,6.7,
09/03/2022 13:52,6.4,
09/03/2022 13:57,6.2,
09/03/2022 14:02,5.9,
09/03/2022 14:07,6.1,
09/03/2022 14:12,6.6,
09/03/2022 14:17,7.8,
09/03/2022 14:22,8.5,
09/03/2022 14:27,8.8,
09/03/2022 14:32,9,
09/03/2022 14:37,8.7,
09/03/2022 14:42,8.2,
09/03/2022 14:47,7.7,
09/03/2022 14:52,7,
09/03/2022 14:57,6.5,
09/03/2022 15:02,6.3,
09/03/2022 15:07,5.9,
09/03/2022 15:12,5.5,
09/03/2022 15:17,5.2,
09/03/2022 15:22,4.7,
09/03/2022 15:27,4.2,
09/03/2022 15:32,3.9,
09/03/2022 15:37,3.7,
09/03/2022 15:42,3.9,
09/03/2022 15:47,4.4,
09/03/2022 15:52,5.5,
09/03/2022 15:57,6.6,
09/03/2022 16:02,7.8,
09/03/2022 16:07,8.5,
09/03/2022 16:12,9.4,
09/03/2022 16:17,10.4,
09/03/2022 16:22,11.2,
09/03/2022 16:27,12.1,
09/03/2022 16:32,13,
09/03/2022 16:37,13.2,
09/03/2022 16:42,13.7,
09/03/2022 16:47,14,
09/03/2022 16:52,14.4,
09/03/2022 16:57,14.3,
09/03/2022 17:02,14,
09/03/2022 17:07,13.5,
09/03/2022 17:12,12.5,
09/03/2022 17:17,11.7,
09/03/2022 17:22,10.9,
09/03/2022 17:27,10,
09/03/2022 17:32,8.6,
09/03/2022 17:37,7.3,
09/03/2022 17:42,4.6,
09/03/2022 17:47,3.5,
09/03/2022 17:52,2.7,
09/03/2022 17:57,2.7,
09/03/2022 18:02,3.2,
09/03/2022 18:07,4.3,
09/03/2022 18:17,7,
09/03/2022 18:22,9.2,
09/03/2022 18:27,10.3,
09/03/2022 18:32,11,
09/03/2022 18:37,10.8,
09/03/2022 18:42,10,
09/03/2022 18:47,9.2,
09/03/2022 18:52,7.8,
09/03/2022 18:57,7.1,
09/03/2022 19:02,6.8,
09/03/2022 19:07,6.8,
09/03/2022 19:12,7.2,
09/03/2022 19:17,7.6,
09/03/2022 19:22,7.9,
09/03/2022 19:27,7.9,
09/03/2022 19:32,7.5,
09/03/2022 19:37,6.7,
09/03/2022 19:42,5.6,
09/03/2022 19:47,4.9,
09/03/2022 19:52,6.7,
09/03/2022 19:57,7.1,
09/03/2022 20:02,7.5,
09/03/2022 20:07,8,
09/03/2022 20:12,7.9,
09/03/2022 20:17,8,
09/03/2022 20:47,8.2,
09/03/2022 20:52,8,
09/03/2022 20:57,7.7,
09/03/2022 21:02,6.9,
09/03/2022 21:07,6.3,
09/03/2022 21:12,5.9,
09/03/2022 21:17,5.5,
09/03/2022 21:22,5.4,
09/03/2022 21:27,5.4,
09/03/2022 21:32,5.7,
09/03/2022 21:37,5.9,
09/03/2022 21:42,5.8,
09/03/2022 21:47,5.6,
09/03/2022 21:52,5.7,
09/03/2022 21:57,6.3,
09/03/2022 22:02,8,
09/03/2022 22:07,9,
09/03/2022 22:12,9.9,
09/03/2022 22:17,10.4,
09/03/2022 22:22,10.2,
09/03/2022 22:27,9.7,
09/03/2022 22:32,9,
09/03/2022 22:37,8.4,
09/03/2022 22:42,8,
09/03/2022 22:47,7.8,
09/03/2022 22:52,7.6,
09/03/2022 22:57,7.2,
09/03/2022 23:02,6.8,
09/03/2022 23:07,6.4,
09/03/2022 23:12,6.1,
09/03/2022 23:17,5.7,
09/03/2022 23:22,5.3,
09/03/2022 23:27,5.1,
09/03/2022 23:32,4.9,
09/03/2022 23:37,4.9,
09/03/2022 23:42,4.9,
09/03/2022 23:47,5,
09/03/2022 23:52,5.2,
09/03/2022 23:57,5.6,
09/04/2022 00:02,6.4,
09/04/2022 00:07,7.5,
09/04/2022 00:12,8.2,
09/04/2022 00:17,8.9,
09/04/2022 00:22,9.3,
09/04/2022 00:27,9.2,
09/04/2022 00:32,8.8,
09/04/2022 00:37,8.2,
09/04/2022 00:42,7.6,
09/04/2022 00:47,7.2,
09/04/2022 00:52,6.9,
09/04/2022 00:57,6.9,
09/04/2022 01:02,7.2,
09/04/2022 01:07,7.3,
09/04/2022 01:12,7.3,
09/04/2022 01:17,7,
09/04/2022 01:22,6.8,
09/04/2022 01:27,6.4,
09/04/2022 01:32,6.3,
09/04/2022 01:37,6.3,
09/04/2022 01:42,6.2,
09/04/2022 01:47,6.1,
09/04/2022 01:52,5.8,
09/04/2022 01:57,5.6,
09/04/2022 02:02,5.4,
09/04/2022 02:07,5.1,
09/04/2022 02:12,4.9,
09/04/2022 02:17,4.7,
09/04/2022 02:22,4.3,
09/04/2022 02:27,4.2,
09/04/2022 02:32,4.2,
09/04/2022 02:37,4.1,
09/04/2022 02:42,4.2,
09/04/2022 02:47,4.2,
09/04/2022 02:52,4.2,
09/04/2022 02:57,4.2,
09/04/2022 03:02,4.1,
09/04/2022 03:07,4.1,
09/04/2022 03:12,4.1,
09/04/2022 03:17,4.2,
09/04/2022 03:22,4.4,
09/04/2022 03:27,4.8,
09/04/2022 03:32,5.1,
09/04/2022 03:37,5.3,
09/04/2022 03:42,5.2,
09/04/2022 03:47,5.2,
09/04/2022 03:52,5.1,
09/04/2022 03:57,5.2,
09/04/2022 04:02,5.2,
09/04/2022 04:07,5.2,
09/04/2022 04:12,5.1,
09/04/2022 04:17,4.9,
09/04/2022 04:22,4.6,
09/04/2022 04:27,4.5,
09/04/2022 04:32,4.6,
09/04/2022 04:37,4.7,
09/04/2022 04:42,5.1,
09/04/2022 04:47,5.7,
09/04/2022 04:52,6.7,
09/04/2022 04:57,7.8,
09/04/2022 05:02,8.5,
09/04/2022 05:07,8.5,
09/04/2022 05:12,8.8,
09/04/2022 05:17,8.9,
09/04/2022 05:22,8.6,
